City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Shelopugino,RU,51.6514,117.5599,28.18,79,22,1.57,few clouds
327,Itambe,BR,-15.245,-40.6244,94.44,27,10,6.06,clear sky
328,Porto Belo,BR,-27.1578,-48.5531,74.08,93,100,19.1,overcast clouds
329,Fiumicino,IT,41.7675,12.2291,83.34,61,0,10.36,clear sky
330,Sao Miguel Dos Campos,BR,-9.7811,-36.0936,85.5,57,30,14.07,scattered clouds
331,Ariquemes,BR,-9.9133,-63.0408,99.34,31,52,5.48,broken clouds
332,Lagoa,PT,39.05,-27.9833,71.46,85,74,13.94,broken clouds
333,Vostok,RU,46.4856,135.8833,37.15,81,6,2.98,clear sky
334,Bud,US,39.447,-86.1758,74.84,62,88,6.35,overcast clouds
335,Atar,MR,20.5169,-13.0499,105.39,13,10,12.03,clear sky
336,Batagay,RU,67.6333,134.6333,22.19,62,4,2.3,clear sky
337,Narasannapeta,IN,18.4167,84.05,81.0,84,1,2.77,clear sky
338,Kattivakkam,IN,13.2167,80.3167,86.09,76,36,7.76,scattered clouds
339,Balaka,MW,-14.9793,34.9558,81.18,44,78,3.56,broken clouds
340,Banjar,ID,-8.19,114.9675,75.06,82,68,7.05,broken clouds
341,Port Hedland,AU,-20.3167,118.5667,73.45,73,0,14.97,clear sky
342,Chara,RU,56.9064,118.2631,27.73,71,79,1.34,broken clouds
343,Kabare,CD,-2.4683,28.8242,66.97,82,84,3.22,light rain
344,Srivardhan,IN,18.0333,73.0167,80.35,84,97,1.36,overcast clouds
345,Arezzo,IT,43.4724,11.869,79.88,40,1,3.0,clear sky
